ts_code,datetime,call_put,k,date,c,s,rf,ttm_ratio,ttm_days,dividend,maturity_date,implied_volatility,moneyness
10005348.SH,2023-08-07 09:31:00,C,3.7,20230807,0.4743,4.076,0.0213951111111111,0.3890410958904109,142,-0.0269938685773336,20231227,0.1618710678118366,1.1016216216216215
10005348.SH,2023-08-07 09:32:00,C,3.7,20230807,0.4743,4.069,0.0213951111111111,0.3890410958904109,142,-0.0306006553641634,20231227,0.1641504713631044,1.0997297297297297
10005348.SH,2023-08-07 09:33:00,C,3.7,20230807,0.4515,4.068,0.0213951111111111,0.3890410958904109,142,-0.0172742196620895,20231227,0.1579092456021279,1.0994594594594593
10005348.SH,2023-08-07 09:34:00,C,3.7,20230807,0.4515,4.07,0.0213951111111111,0.3890410958904109,142,-0.0163245990712507,20231227,0.1570940171148847,1.1
10005348.SH,2023-08-07 09:35:00,C,3.7,20230807,0.4515,4.065,0.0213951111111111,0.3890410958904109,142,-0.0187939041325524,20231227,0.1589307164276747,1.0986486486486486
10005348.SH,2023-08-07 09:36:00,C,3.7,20230807,0.4515,4.063,0.0213951111111111,0.3890410958904109,142,-0.020058875878167,20231227,0.1589307164276747,1.0981081081081079
10005348.SH,2023-08-07 09:37:00,C,3.7,20230807,0.4515,4.064,0.0213951111111111,0.3890410958904109,142,-0.0196146224260329,20231227,0.1584220608439019,1.0983783783783783
10005348.SH,2023-08-07 09:38:00,C,3.7,20230807,0.4515,4.064,0.0213951111111111,0.3890410958904109,142,-0.0196146224260329,20231227,0.1584220608439019,1.0983783783783783
10005348.SH,2023-08-07 09:39:00,C,3.7,20230807,0.4515,4.065,0.0213951111111111,0.3890410958904109,142,-0.0193587934596139,20231227,0.1574418137022202,1.0986486486486486
10005348.SH,2023-08-07 09:40:00,C,3.7,20230807,0.4515,4.067,0.0213951111111111,0.3890410958904109,142,-0.0180316845826644,20231227,0.1575648366445281,1.0991891891891892
10005348.SH,2023-08-07 09:41:00,C,3.7,20230807,0.4515,4.065,0.0213951111111111,0.3890410958904109,142,-0.0192332732260149,20231227,0.1577373069141131,1.0986486486486486
10005348.SH,2023-08-07 09:42:00,C,3.7,20230807,0.4515,4.062,0.0213951111111111,0.3890410958904109,142,-0.0210682019526811,20231227,0.1579092456021279,1.097837837837838
